seq_len,transformer_forward_s,transformer_per_token_s,mamba_forward_s,mamba_per_token_s
128,0.00359776858240366,2.8107567050028593e-05,0.005058826878666878,3.952208498958498e-05
256,0.0033327233046293258,1.3018450408708304e-05,0.004971510171890259,1.9419961608946325e-05
512,0.003419812023639679,6.679320358671248e-06,0.004953215271234513,9.674248576629908e-06
1024,0.003465646877884865,3.3844207791844383e-06,0.005071879550814629,4.953007373842411e-06
2048,0.006345117278397083,3.0982017960923257e-06,0.00555239412933588,2.711129945964785e-06
4096,0.015891338884830474,3.879721407429315e-06,0.010589096881449222,2.585228730822564e-06
